"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
date_fa_idx,oct_image_analysis,"Fluorescein Angiography (FA)",text,"Date of Fluorescein Angiography (Index visit)",,,date_mdy,,,,"[images_available_idx(3)] = '1'",,,,,,
fa_findings_od_idx,oct_image_analysis,,checkbox,"FA Findings - OD (select all that apply)","1, Late staining/leakage | 2, Window defect (RPE/atrophic change) | 3, Blocked fluorescence | 4, No significant abnormality",,,,,,"[images_available_idx(3)] = '1'",,,,,,
fa_findings_os_idx,oct_image_analysis,,checkbox,"FA Findings - OS (select all that apply)","1, Late staining/leakage | 2, Window defect (RPE/atrophic change) | 3, Blocked fluorescence | 4, No significant abnormality",,,,,,"[images_available_idx(3)] = '1'",,,,,,
date_octa_idx,oct_image_analysis,"OCT Angiography (OCTA)",text,"Date of OCTA (Index visit)",,,date_mdy,,,,"[images_available_idx(5)] = '1'",,,,,,
octa_findings_od_idx,oct_image_analysis,,checkbox,"OCTA Findings - OD (select all that apply)","1, Choriocapillaris (CC) flow deficits | 2, Macular neovascularization (MNV) - Type 1 | 3, Macular neovascularization (MNV) - Type 2 | 4, Macular neovascularization (MNV) - Type 3 | 5, No flow abnormality",,,,,,"[images_available_idx(5)] = '1'",,,,,,
octa_findings_os_idx,oct_image_analysis,,checkbox,"OCTA Findings - OS (select all that apply)","1, Choriocapillaris (CC) flow deficits | 2, Macular neovascularization (MNV) - Type 1 | 3, Macular neovascularization (MNV) - Type 2 | 4, Macular neovascularization (MNV) - Type 3 | 5, No flow abnormality",,,,,,"[images_available_idx(5)] = '1'",,,,,,
date_faf_idx,oct_image_analysis,"Fundus Autofluorescence (FAF)",text,"Date of FAF (Index visit)",,,date_mdy,,,,"[images_available_idx(4)] = '1'",,,,,,
faf_findings_od_idx,oct_image_analysis,,checkbox,"FAF Findings - OD (select all that apply)","1, Speckled hyper-/hypoautofluorescence pattern (centered on fovea) | 2, Well-demarcated nummular hypoautofluorescent atrophic lesion(s) | 3, Geographic atrophy involving the fovea | 4, Contiguous atrophic lesions | 5, Non-contiguous/discrete atrophic lesions | 6, No autofluorescence abnormality",,,,,,"[images_available_idx(4)] = '1'",,,,,,
faf_findings_os_idx,oct_image_analysis,,checkbox,"FAF Findings - OS (select all that apply)","1, Speckled hyper-/hypoautofluorescence pattern (centered on fovea) | 2, Well-demarcated nummular hypoautofluorescent atrophic lesion(s) | 3, Geographic atrophy involving the fovea | 4, Contiguous atrophic lesions | 5, Non-contiguous/discrete atrophic lesions | 6, No autofluorescence abnormality",,,,,,"[images_available_idx(4)] = '1'",,,,,,
ppsm_confirmed_idx,oct_image_analysis,"PPSM Confirmation",radio,"PPSM Confirmed? (Index visit)","1, Yes | 2, Unclear - Likely Yes | 3, Unclear - Likely No | 4, No",,,,,,,y,,,,,
