"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ocular_dx_od_other,ophtho_index,,text,"If other ocular diagnosis (OD), specify",,,,,,,"[ocular_dx_od(12)] = '1'",,,,,,
ocular_dx_os,ophtho_index,,checkbox,"Ocular Diagnosis - OS (check all that apply)","1, PPS maculopathy | 2, Cataract | 3, Glaucoma | 4, Epiretinal membrane | 5, Macular neovascularization | 6, Vitreomacular traction | 7, Age-related macular degeneration | 8, Retinal ischemia | 9, RPE mottling | 10, Vitreomacular adhesion | 11, Pattern dystrophy | 12, Other | 13, None",,,,,,,,,,,,
ocular_dx_os_other,ophtho_index,,text,"If other ocular diagnosis (OS), specify",,,,,,,"[ocular_dx_os(12)] = '1'",,,,,,
pps_stage_od,ophtho_index,,radio,"PPS maculopathy stage - OD (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_od(1)] = '1'",,,,,,
pps_stage_os,ophtho_index,,radio,"PPS maculopathy stage - OS (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_os(1)] = '1'",,,,,,
lens_status_od,ophtho_index,,dropdown,"Lens status OD","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_od,ophtho_index,,dropdown,"BCVA - Snellen (OD)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
bcva_logmar_od,ophtho_index,,calc,"BCVA - LogMAR (OD) [auto-calculated from Snellen]","if([bcva_snellen_od]='1',-0.3,if([bcva_snellen_od]='2',-0.2,if([bcva_snellen_od]='3',-0.1,if([bcva_snellen_od]='4',0.0,if([bcva_snellen_od]='5',0.1,if([bcva_snellen_od]='6',0.2,if([bcva_snellen_od]='7',0.3,if([bcva_snellen_od]='8',0.4,if([bcva_snellen_od]='9',0.5,if([bcva_snellen_od]='10',0.6,if([bcva_snellen_od]='11',0.7,if([bcva_snellen_od]='12',0.8,if([bcva_snellen_od]='13',0.9,if([bcva_snellen_od]='14',1.0,if([bcva_snellen_od]='15',1.1,if([bcva_snellen_od]='16',1.2,if([bcva_snellen_od]='17',1.3,if([bcva_snellen_od]='18',2.0,if([bcva_snellen_od]='19',2.6,if([bcva_snellen_od]='20',2.9,if([bcva_snellen_od]='21',3.0,'')))))))))))))))))))))",,,,,,,,,,,,
iop_bl,ophtho_index,,text,"IOP OD (mmHg)",,,number,0,80,,,,,,,,
lens_status_os,ophtho_index,,dropdown,"Lens status OS","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_os,ophtho_index,,dropdown,"BCVA - Snellen (OS)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
bcva_logmar_os,ophtho_index,,calc,"BCVA - LogMAR (OS) [auto-calculated from Snellen]","if([bcva_snellen_os]='1',-0.3,if([bcva_snellen_os]='2',-0.2,if([bcva_snellen_os]='3',-0.1,if([bcva_snellen_os]='4',0.0,if([bcva_snellen_os]='5',0.1,if([bcva_snellen_os]='6',0.2,if([bcva_snellen_os]='7',0.3,if([bcva_snellen_os]='8',0.4,if([bcva_snellen_os]='9',0.5,if([bcva_snellen_os]='10',0.6,if([bcva_snellen_os]='11',0.7,if([bcva_snellen_os]='12',0.8,if([bcva_snellen_os]='13',0.9,if([bcva_snellen_os]='14',1.0,if([bcva_snellen_os]='15',1.1,if([bcva_snellen_os]='16',1.2,if([bcva_snellen_os]='17',1.3,if([bcva_snellen_os]='18',2.0,if([bcva_snellen_os]='19',2.6,if([bcva_snellen_os]='20',2.9,if([bcva_snellen_os]='21',3.0,'')))))))))))))))))))))",,,,,,,,,,,,
iop_bl_2,ophtho_index,,text,"IOP OS (mmHg)",,,number,0,80,,,,,,,,
visual_symptoms_bl,ophtho_index,,checkbox,"Visual Symptoms Reported (check all that apply)","1, Blurry vision | 2, Difficulty reading | 3, Floaters | 4, Photosensitivity/photophobia | 5, Scotoma | 6, Flashes | 7, Metamorphopsia | 8, Delayed dark adaptation | 9, Decreased color sensitivity/abnormal color perception | 10, Peripheral vision loss | 11, Diplopia | 12, Other | 13, None/asymptomatic",,,,,,,,,,,,
visual_symptoms_bl_o,ophtho_index,,text,"If other visual symptom, specify",,,,,,,"[visual_symptoms_bl(12)] = '1'",,,,,,
tests_performed_bl,ophtho_index,,checkbox,"Tests/Imaging Performed at This Visit (check all that apply)","1, OCT | 2, OCT with angiogram (OCTA) | 3, Fluorescein angiography | 4, FAF | 5, Infrared reflectance (IRR) | 6, None documented",,,,,,,,,,,,
date_last_ophtho,last_visit,"Ophthalmology Visit - Last Available",text,"Date of last ophthalmology visit",,,date_mdy,,,,,y,,,,,
ocular_dx_last_od,last_visit,,checkbox,"Ocular Diagnosis - OD (check all that apply)","1, PPS maculopathy | 2, Cataract | 3, Glaucoma | 4, Epiretinal membrane | 5, Macular neovascularization | 6, Vitreomacular traction | 7, Age-related macular degeneration | 8, Retinal ischemia | 9, RPE mottling | 10, Vitreomacular adhesion | 11, Pattern dystrophy | 12, Other | 13, None",,,,,,,,,,,,
ocular_dx_last_od_other,last_visit,,text,"If other ocular diagnosis (OD), specify",,,,,,,"[ocular_dx_last_od(12)] = '1'",,,,,,
ocular_dx_last_os,last_visit,,checkbox,"Ocular Diagnosis - OS (check all that apply)","1, PPS maculopathy | 2, Cataract | 3, Glaucoma | 4, Epiretinal membrane | 5, Macular neovascularization | 6, Vitreomacular traction | 7, Age-related macular degeneration | 8, Retinal ischemia | 9, RPE mottling | 10, Vitreomacular adhesion | 11, Pattern dystrophy | 12, Other | 13, None",,,,,,,,,,,,
ocular_dx_last_os_other,last_visit,,text,"If other ocular diagnosis (OS), specify",,,,,,,"[ocular_dx_last_os(12)] = '1'",,,,,,
pps_stage_last_od,last_visit,,radio,"PPS maculopathy stage - OD (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_last_od(1)] = '1'",,,,,,
pps_stage_last_os,last_visit,,radio,"PPS maculopathy stage - OS (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_last_os(1)] = '1'",,,,,,
ocular_history_lv_od,last_visit,,checkbox,"Ocular Surgical History — OD (check all that apply)","1, Phacoemulsification with IOL implantation | 2, Pars plana vitrectomy (PPV) | 3, ILM/ERM peeling | 4, Scleral buckling procedure | 5, Pneumatic retinopexy | 6, Panretinal photocoagulation (PRP) | 7, Focal/grid laser photocoagulation | 8, Photodynamic therapy (PDT) | 9, Selective laser trabeculoplasty (SLT) | 10, Trabeculectomy | 11, Glaucoma drainage device (GDD) implantation | 12, Cornea Transplant | 13, Other | 14, None",,,,,,,,,,,,
ocular_history_lv_os,last_visit,,checkbox,"Ocular Surgical History — OS (check all that apply)","1, Phacoemulsification with IOL implantation | 2, Pars plana vitrectomy (PPV) | 3, ILM/ERM peeling | 4, Scleral buckling procedure | 5, Pneumatic retinopexy | 6, Panretinal photocoagulation (PRP) | 7, Focal/grid laser photocoagulation | 8, Photodynamic therapy (PDT) | 9, Selective laser trabeculoplasty (SLT) | 10, Trabeculectomy | 11, Glaucoma drainage device (GDD) implantation | 12, Cornea Transplant | 13, Other | 14, None",,,,,,,,,,,,
lens_status_od_lv,last_visit,,dropdown,"Lens status OD","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_last_od,last_visit,,dropdown,"BCVA - Snellen (OD)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
bcva_logmar_last_od,last_visit,,calc,"BCVA - LogMAR (OD) [auto-calculated from Snellen]","if([bcva_snellen_last_od]='1',-0.3,if([bcva_snellen_last_od]='2',-0.2,if([bcva_snellen_last_od]='3',-0.1,if([bcva_snellen_last_od]='4',0.0,if([bcva_snellen_last_od]='5',0.1,if([bcva_snellen_last_od]='6',0.2,if([bcva_snellen_last_od]='7',0.3,if([bcva_snellen_last_od]='8',0.4,if([bcva_snellen_last_od]='9',0.5,if([bcva_snellen_last_od]='10',0.6,if([bcva_snellen_last_od]='11',0.7,if([bcva_snellen_last_od]='12',0.8,if([bcva_snellen_last_od]='13',0.9,if([bcva_snellen_last_od]='14',1.0,if([bcva_snellen_last_od]='15',1.1,if([bcva_snellen_last_od]='16',1.2,if([bcva_snellen_last_od]='17',1.3,if([bcva_snellen_last_od]='18',2.0,if([bcva_snellen_last_od]='19',2.6,if([bcva_snellen_last_od]='20',2.9,if([bcva_snellen_last_od]='21',3.0,'')))))))))))))))))))))",,,,,,,,,,,,
iop_last,last_visit,,text,"IOP OD (mmHg)",,,number,0,80,,,,,,,,
lens_status_os_lv,last_visit,,dropdown,"Lens status OS","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_last_os,last_visit,,dropdown,"BCVA - Snellen (OS)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
